time,open,high,low,close,EMA,EMA,EMA,EMA
1425600000,276.54,280,269.12,273.23,259.428744044161,260.0125366827618,266.70266090749845,271.99095016701966
1425686400,273.22,279.44,270.55,276.89,259.9212888997267,261.89931715665296,268.15095848360994,272.4006334446798
1425772800,276.86,278.97,270.29,275.5,260.52624286759357,264.0365575628454,270.08630104280775,273.8870889631199
1425859200,275.47,294.42,275,290.19,261.0599484794652,265.66990648243893,271.2826785888505,274.41472597541326
1425945600,290.2,299.48,289.82,293.47,262.10066460519863,269.17420555637625,275.4865277913282,279.6764839836088
1426032000,293.46,297.8,290.51,296.99,263.2206408692987,272.6436047626082,279.48063272658857,284.27098932240585
1426118400,296.98,298.9,291.87,296.05,264.42633226682375,276.1202326536642,283.3693810095689,288.5073262149372
1426204800,295.87,296.43,284,284,265.5493204001515,278.94162798885503,286.1472963407758,290.96155080995817
1426291200,284.37,289,280.86,283.95,266.2214875287175,279.7171097047329,285.7523415983812,288.7643672066388
1426377600,283.77,289.24,282.5,288,266.8482201169776,280.29609403262816,285.31182124318536,287.0995781377592
1426464000,287.99,294.99,287.41,292.37,267.60328368422836,281.3952234565384,285.90697207803305,287.3963854251728
1426550400,292.36,293.69,284.01,286.74,268.4874521240773,282.96162010560437,287.3409782829146,289.05092361678186
1426636800,286.63,287,250,258.5,269.13540026250314,283.48567437623234,287.18298310893357,288.24394907785455
1426723200,258.62,266.8,249.2,263,268.75985025312804,279.93343517962774,280.83565352917054,278.3692993852364
1426809600,263.06,267.42,259.31,263.31,268.55628417265916,277.52294443968094,276.885508300466,273.2661995901576
1426896000,263.31,263.62,256.66,261.57,268.3689168807785,275.4925238054408,273.8687286781402,269.9474663934384
1426982400,261.57,271.27,259.71,269.45,268.1260984207507,273.50359183323496,271.13567786077573,267.1549775956256
1427068800,269.25,273.99,260.81,267.53,268.16623776286673,272.89593585705853,270.7166383361589,267.85331839708374
1427155200,267.54,268.51,244.86,246.15,268.1438721284786,272.13080216319304,270.01071870590135,267.7488789313892
1427241600,246.29,249.99,234.51,246.88,267.36337669531866,268.4392589970226,264.7394478823677,260.5959192875928
1427328000,246.99,254.9,244.92,249.88,266.6357560990573,265.3750791403051,260.7951261307304,256.0606128583952
1427414400,249.76,250.99,246.44,247.81,266.033050524091,263.14435354883295,258.342875879457,253.96040857226345
1427500800,247.93,254.99,247.81,253.52,265.38651300537344,260.97087447042827,256.02890346179987,251.95027238150897
1427587200,253.6,254,241,243.69,264.9655661123244,259.91789240322424,255.48914713695547,252.50018158767264
1427673600,243.6,250.06,237.94,248.78,264.20251017974135,257.5867649170493,252.84711443985424,249.53345439178176
1427760000,248.78,249.98,242.87,245.5,263.6517062447506,256.32865564318513,251.94331123099775,249.28230292785452
1427846400,245.5,248.22,241.07,247.87,263.00343102172377,254.78170483701584,250.51146429077602,248.02153528523635
1427932800,247.5,255.24,245.8,254.39,262.44973705666223,253.7414612888707,249.8422500039369,247.84769019015758
1428019200,254.79,257.43,252.59,254.84,262.1761750189243,253.89125253331775,250.94175000306203,250.16179346010506
1428105600,255,256.6,251.26,254.37,261.91988305396274,254.04964502855807,251.8435833357149,251.77452897340336
1428192000,254.37,262,252.06,261.47,261.6502443734641,254.09541002447835,252.4050092611116,252.6396859822689
1428278400,261.49,263,255,256.85,261.6445213601261,255.15178002098145,254.42389609197568,255.58979065484593
1428364800,256.84,258.7,253.45,254.27,261.47293131155016,255.3929543036984,254.96080807153663,256.0065271032306
1428451200,254.23,255.75,244.29,246.58,261.2142551932805,255.22681797459862,254.79840627786183,255.41435140215373
1428537600,246.81,248.16,239.02,244.74,260.6998175078062,254.02441540679882,253.0232048827814,252.5462342681025
1428624000,244.46,244.66,232.35,236.78,260.11982402538456,252.6580703486847,251.12027046438556,249.85082284540167
1428710400,236.78,239.99,234.77,237.91,259.2862588816208,250.3897745845869,247.9335436945221,245.49388189693445
1428796800,237.91,239.16,234.02,237.55,258.5228210644201,248.6069496439316,245.70608954018385,242.96592126462298
1428883200,237.57,238,220.77,225.73,257.7745060264051,247.03024255194137,243.89806964236521,241.16728084308198
1428969600,225.42,226.9,216.92,221.05,256.6189879540335,243.94306504452118,239.79183194406184,235.9181872287213
1429056000,221.05,224.52,218.09,224.35,255.34866695567518,240.67262718101816,235.626980400937,230.96212481914753
1429142400,224.35,230.75,223.66,229.45,254.2415717072582,238.34082329801555,233.12098475628432,228.75808321276503
1429228800,229.45,230.08,220.46,223.62,253.35615843199898,237.07070568401332,232.3052103659989,228.98872214184334
1429315200,223.55,224.04,222.18,224.02,252.2916527737133,235.13917630058285,230.35960806244358,227.1758147612289
1429401600,224.04,226.72,223.44,224.03,251.28266517465212,233.55357968621388,228.9552507152339,226.1305431741526
1429488000,224.03,227.45,223.45,225.37,250.30935570412885,232.19306830246904,227.86075055629303,225.43036211610172
1429574400,225.35,235.89,224.01,235.89,249.4179501432671,231.21548711640204,227.3028059882279,225.4035747440678
1429660800,235.89,238.6,232.78,233.98,248.93480906672184,231.88327467120175,229.21107132417725,228.89904982937853
1429747200,233.96,236.54,232.79,235.99,248.39999445719607,232.17994971817294,230.26638880769343,230.5860332195857
1429833600,235.95,236.93,230.12,231.51,247.9553517980105,232.71852832986252,231.5294135170949,232.37402214639044
1429920000,231.51,233.67,226.83,227.05,247.3680178052244,232.54588142559643,231.5250994021849,232.08601476426028
1430006400,227.05,227.91,215.56,221.27,246.6423743121807,231.7607555076541,230.53063286836604,230.40734317617353
1430092800,221.27,231.11,218.78,227.58,245.73621808674568,230.2620761494178,228.47271445317358,227.361562117449
